article type,Article Number,link,Journal,Year,Author,Host,Host_name,Host_number,Pathogen group,Pathogen_group_number,Pathogen_species,Pathogen_species_number,Environment,Environment_number,Inoculation (yes/no),Disease variable,scale_type,Author's definition,min,max,Description,Measure reference,Disease index?,Sample unit (type),Sample size,Observation,Transformation,anova_type,means_separation,Replicates_n,Replicates_max,Units_per_replicate,Sample_size_parse_status,,analysis_method,analysis_family,comparison_methods,comparison_number,comparison_family
original article,110,https://doi.org/10.1007/s10327-018-0821-4,Journal of General Plant Pathology,2018,"Libo Xiang, Minfeng Xue, Lijun Yang, Shuangjun Gong, Dazhao Yu",Tomato,Tomato,1,Fungi,1,Botrytis cinerea,1,Field,1,No,Index,Ordinal,disease severity using the 0-9 scale... 0 is a completely healthy leaf... 9 indicates 50-100% diseased leaf area... DSI = sum(n x Ln) / ...,0,9,Disease severity index based on a 0-9 scale of diseased leaf area,Anonymous (1993) / Zhang et al. (2014),Yes,Leaf,three replicates,7 days after each fungicide application,,Anova,Tukey's HSD,3,,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,123,https://doi.org/10.1007/s10327-018-0783-6,Journal of General Plant Pathology,2018,"Yonas Kefialew, Sanju Kunwar, Dawit Abate, Amare Ayalew, James Colee, Laura Ritchie, Stephen M. Olson, Mathews L. Paret",Watermelon,Watermelon,1,Fungi,1,Stagonosporopsis citrulli,1,Greenhouse,1,Yes,Severity,Ordinal,rated from 0 to 11 using the Horsfall-Barratt scale,0,11,Disease severity rated on the 0-11 Horsfall-Barratt scale,Horsfall and Barratt 1945,Yes,Plant,five replications,3 weeks,,Anova,Tukey / Fisher LSD,5,,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey / Fisher's LSD,2,Multiple-comparison procedure
original article,163,https://doi.org/10.1007/s10327-019-00891-5,Journal of General Plant Pathology,2020,"Hiroyuki Hagiwara, Rieko Ogura, Takeshi Fukumoto, Toshiaki Ohara, Mikio Tsuda, Kazuyuki Hiratsuka",Rice,Rice,1,Bacteria,1,Xanthomonas oryzae pv. oryzae,1,Growth chamber / Greenhouse,2,Yes,Lesion size,Continuous,Length of lesions on inoculated leaf blades,0,,Length of lesion,Kauffman et al. 1973,No,Leaf,16 replicates,10 days after inoculation,,Anova,Tukey's HSD,16,,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,168,https://doi.org/10.1007/s10327-020-00941-3,Journal of General Plant Pathology,2020,"Maho Takahashi, Yasunori Tsutaki, Hitoshi Nakamura",Loquat,Loquat,1,Fungi,1,Rosellinia necatrix,1,Field,1,Yes,Severity,Ordinal,0 = healthy; 1 = slightly damaged... 3 = entirely damaged,0,3,Disease severity on roots rated on a 0-3 scale,,Yes,Root,three replicates per treatment,8 months after inoculation,,,Fisher's exact test,3,,,Parsed replicate count,,Not reported,Not reported,t-test / Fisher's exact,2,Pairwise test
original article,176,https://doi.org/10.1007/s10327-020-00965-9,Journal of General Plant Pathology,2020,"Takako Ishiga, Nanami Sakata, Tsutomu Ugajin, Yasuhiro Ishiga",Cabbage,Cabbage,1,Bacteria,1,Pseudomonas cannabina pv. alisalensis,1,Greenhouse,1,Yes,Severity,Continuous,"decrease in symptoms, including necrosis and chlorosis",0,,Severity of symptoms including necrosis and chlorosis,,No,Leaf,three biological replicates,,,,Tukey's HSD,3,,,Parsed replicate count,,Not reported,Not reported,Tukey,1,Multiple-comparison procedure
original article,207,https://doi.org/10.1007/s10327-021-01013-w,Journal of General Plant Pathology,2021,"Sigeo Nakao, Hisayoshi Watanabe, Taku Yano, Yuichi Yamaoka & Hideo Ishii",Pyrus pyrifolia,Asian pear,1,Fungi,1,Venturia nashicola,1,Field,1,Yes,Incidence,Continuous,Incidence on leaves (%),0,100,Scab incidence assessed on the leaves,Nakao et al.,No,Leaf,15 shoots per replicate,Growing season and after harvest,,Anova,Tukey's HSD,,,,"Reported, complex/unparsed",,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,214,https://doi.org/10.1007/s10327-021-01019-4,Journal of General Plant Pathology,2021,"Yolani de J. Bojorquez-Armenta, Guadalupe A. Mora-Romero, Melina Lopez-Meyer, Ignacio E. Maldonado-Mendoza, Claudia Castro-Martinez, Cecilia de los A. Romero-Urias, Jesus D. Cordero-Ramirez & Juan C. Martinez-Alvarez",Phaseolus vulgaris,Bean,1,Fungi,1,Macrophomina phaseolina,1,Growth chamber,1,Yes,Index,Continuous,Disease severity index (DI) (%),0,100,Disease severity index DI(%) = sum(ab)/(AK) * 100,Bojorquez-Armenta et al.,No,Plant,5 replicates per treatment,8 days,,Kruskal-Wallis / Dunn,,5,,,Parsed replicate count,,Kruskal–Wallis,Nonparametric,Not reported,0,Not reported
original article,217,https://doi.org/10.1007/s10327-022-01107-z,Journal of General Plant Pathology,2022,"Ayane Kanaizuka, Ryota Sasaki, Shuhei Miyashita, Sugihiro Ando, Kumiko Ito, Toshiyuki Fukuhara & Hideki Takahashi",Oryza sativa,Rice,1,Bacteria,1,Burkholderia glumae,1,Greenhouse,1,Yes,Index,Continuous,,0,100,Rice seedling rot disease severity index (DSI),Kanaizuka et al.,No,Plant,,,,,,,,,Not reported,,Not reported,Not reported,Not reported,0,Not reported
original article,253,https://doi.org/10.1007/s10327-023-01122-8,Journal of General Plant Pathology,2023,"Gasta Mouka Adechina Adam Dade, Junichi Kihara & Makoto Ueno",Solanum lycopersicum,Tomato,1,Fungi,1,Athelia rolfsii,1,Greenhouse,1,Yes,Incidence,Continuous,Percentage,0,100,Percentage of plants that developed damping off,Dade et al.,No,Plant,,3 weeks,,Anova,Tukey-Kramer,,,,Not reported,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,275,https://doi.org/10.1007/s10327-023-01145-1,Journal of General Plant Pathology,2023,"Valeria Fernanda Bernardo, Matias Alberto Gonzalez, Sebastian AndrÃƒÂ©s Garita, Roberto Oscar Lopez, Maria Cecilia Arango, Mario Carlos Nazareno Saparrat, Marcela Fabiana Ruscitti",Pepper,Pepper,1,Nematode,1,Nacobbus aberrans,1,Greenhouse,1,Yes,Count / Reproduction factor,Continuous,"Reproductive Factor RF = Fp/Pi - 1, where Fp = final population (eggs and larvae extracted from roots) and Pi = number of inoculated eggs",0,,Nematode Reproductive Factor (RF) and egg count,Oostenbrink (1966),No,Plant,10 replicates per treatment,,,Anova,Fisher LSD,10,,,Parsed replicate count,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,287,https://doi.org/10.1007/s10327-024-01206-z,Journal of General Plant Pathology,2024,"Herlina Raharja Putri, Akhiruddin Maddu, Sari Nurulita, Fitrianingrum Kurniawati, Tri Asmira Damayanti",Capsicum annuum,Pepper,1,Virus,1,Tobacco mosaic virus,1,Greenhouse,1,Yes,Incidence / Severity,Continuous,Percentage,0,100,Disease incidence (%) and disease severity score (0-3),Putri et al.,No,Plant,,4 weeks after inoculation,,Kruskal-Wallis / Anova,Tukey's HSD,,,,Not reported,,ANOVA / Kruskal–Wallis,Parametric / Nonparametric,Tukey,1,Multiple-comparison procedure
original article,333,https://doi.org/10.1007/s10327-025-01224-5,Journal of General Plant Pathology,2025,"Namiko Kirino, Akira Kawaguchi",Solanum lycopersicum,Tomato,1,Fungi,1,Pseudocercospora fuligena,1,Greenhouse,1,Yes,Incidence,Continuous,Percentage,0,100,Number of leaves with and without BLM lesions,,No,Leaf,14 greenhouses,Late in cultivation,,GLMM,Tukey's HSD,,,,"Reported, complex/unparsed",,GLMM,Mixed model,Tukey,1,Multiple-comparison procedure
original article,12,https://doi.org/10.1111/j.1439-0434.2010.01782.x,Journal of Phytopathology,2011,"Kaituo Wang, Peng Jin, Shifeng Cao, Huaijin Rui, Yonghua Zheng",Chinese bayberry,Chinese bayberry,1,Fungi,1,Penicillium citrinum / Verticicladiella abietina,2,Laboratory,1,Yes,Incidence,Continuous,Percentage of infected wounds or fruits,0,100,Percentage of infected wounds or fruits with visible mould growth,,No,Fruit / Wound,3 replicates of 50 fruits (100 wound sites) each,2 days at 20C or 8 days at 1C,,Anova,Duncan's MRT,3,,50,Parsed replicate count,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,40,https://doi.org/10.1111/jph.12027,Journal of Phytopathology,2013,"He-Qin Zhu, Zi-Li Feng, Zhi-Fang Li, Yong-Qiang Shi, Li-Hong Zhao, Jia-Rong Yang",Cotton,Cotton,1,Fungi,1,Verticillium dahliae,1,Greenhouse,1,Yes,Incidence / Index,Continuous,"Disease incidence (%) = percentage of symptomatic plants; Disease index = weighted index based on ratings from 0 to 4 (0: healthy, 4: necrotic meristem or dead plant)",0,100,Disease incidence and severity index recorded on cotton seedlings in paper pots under greenhouse conditions,Zhu et al. (2010),Yes,Plant,3 replications of 15 to 25 plants total (5 pots with 3-5 plants each),18 and 25 days after inoculation,,Anova,Fisher LSD,3,,,Parsed replicate count,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,46,https://doi.org/10.1111/jph.12048,Journal of Phytopathology,2013,"Recep Kotan, Akif Okutucu, Arzu Ala Gormez, Kenan Karagoz, Fatih Dadasoglu, Isa Karaman, Ismet Hasanekoglu, Saban Kordali",Common mistletoe (Viscum album L.),Common mistletoe,1,Bacteria / Fungi,2,Alternaria alternata / Burkholderia cepacia,2,Field,1,Yes,Incidence / Severity,Continuous / Ordinal,"Disease incidence is the percentage of infected mistletoes (%); Disease severity is rated on a 1-5 scale (1: healthy, 5: >75% of plants displaying symptoms or dead)",0 (for incidence) / 1 (for severity),100 (for incidence) / 5 (for severity),Evaluation of biocontrol activity of bacterial strains and fungal isolates on mistletoe in field conditions based on percentage of infected plants and a 1-5 severity scale,Kelman and Person (1961),No,Shoot / Plant,12 shoots on 3 trees per location across 5 locations,8 months after inoculation,,,,,,,"Reported, complex/unparsed",,Not reported,Not reported,Not reported,0,Not reported
original article,48,https://doi.org/10.1111/jph.12045,Journal of Phytopathology,2013,"Zelalem Mersha, Shouan Zhang, Yuqing Fu, Xiaodan Mo, Richard N. Raid, Bernhard Hau",Basil,Basil,1,Oomycete,1,Peronospora belbahrii,1,Greenhouse,1,Yes,Severity / AUDPC,Continuous,Disease severity visually rated as percentage of leaf area showing symptoms and signs of downy mildew,0,100,Visual estimation of the percentage of leaf area with typical symptoms and signs of downy mildew on all plants in a pot,,No,Plant / Pot,3 to 6 replications of pots with 3-6 plants each,Multiple times at intervals of 3-8 days starting after inoculation,,Anova,Tukey's HSD,3,6,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,49,https://doi.org/10.1111/jph.12479,Journal of Phytopathology,2016,"Ahmed S. A. Elshakh, Syed Ishtiaq Anjum, Wen Qiu, Abdulwareth A. Almoneafy, Wang Li, Zhang Yang, Zhou-Qi Cui, Bin Li, Guo-Chang Sun, Guan-Lin Xie",Rice,Rice,1,Bacteria,1,Xanthomonas oryzae pv. oryzae,1,Greenhouse,1,Yes,Severity,Continuous,,0,,Severity of bacterial leaf blight,,No,Plant,three replicates in each treatment and four plants for each replicate,,,Anova,Fisher LSD,3,,4,Parsed replicate count,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,50,https://doi.org/10.1111/jph.12489,Journal of Phytopathology,2016,"Alexandre Rutikanga, Charles Sivirihauma, Walter Ocimati, Gertrude Night, Charles Murekezi, Vigheri Ndungo, Thierry Mugiraneza, Guy Blomme",Banana,Banana,1,Bacteria,1,Xanthomonas campestris pv. musacearum,1,Field,1,No,Incidence,Continuous,XW incidence (%),0,100,Percentage of plants showing Xanthomonas wilt symptoms,,No,Plot,,12 months,,Anova,Fisher LSD,,,,Not reported,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,59,https://doi.org/10.1111/jph.12522,Journal of Phytopathology,2016,"Mengjun Zhang, Jilie Li, Airong Shen, Shiyong Tan, Zhun Yan, Yongting Yu, Zhaodong Xue, Taimeng Tan, Liangbin Zeng",Pepper,Pepper,1,Oomycete,1,Phytophthora capsici,1,Greenhouse,1,Yes,Incidence,Continuous,Disease incidence (%) = (Number of diseased plants)/(Total number of plants) x 100,0,100,Percentage of plants showing disease symptoms,,No,Plant,,60 days after inoculation,,Anova,Duncan's MRT,,,,Not reported,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,61,https://doi.org/10.1111/jph.12501,Journal of Phytopathology,2016,"Rania Aydi Ben Abdallah, Hayfa Jabnoun-Khiareddine, Ahlem Nefzi, Sonia Mokni-Tlili, Mejda Daami-Remadi",Tomato,Tomato,1,Fungi,1,Fusarium oxysporum f.sp. lycopersici,1,Greenhouse,1,Yes,Severity,Ordinal,0-4 rating scale (0 = no symptoms to 4 = 76-100% of leaves with yellowing and/or necrosis),0,4,Fusarium wilt severity based on a 0-4 scale measuring yellowing and necrosis,Amini 2009,No,Plant,,30 days postinoculation,,Anova,,,,,Not reported,,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,72,https://doi.org/10.1111/jph.12653,Journal of Phytopathology,2017,"Chinelo Obianom, Dharini Sivakumar",Avocado,Avocado,1,Fungi,1,Lasiodiplodia theobromae,1,Postharvest,1,Yes,Incidence,Continuous,Disease incidence (%) = Number of infected wounds / Total number of inoculated fruit x 100,0,100,Percentage of infected wounds indicating stem-end rot incidence,"Sellamuthu, Mafune, Sivakumar, and Soundy (2013)",No,Fruit,10 replicates,14 + 3 days,,Anova,Fisher LSD,10,,,Parsed replicate count,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,78,https://doi.org/10.1111/jph.12576,Journal of Phytopathology,2017,"Honglian Guo, Zijuan Xing, Qiaoyin Yu, Yue Zhao, Enlong Zhu",Jujube,Jujube,1,Fungi,1,Alternaria alternata,1,Postharvest,1,Yes,Index,Ordinal,Disease severity was divided to five levels... 0 = no infection or lesion... 4 = lesion diameter more than 25 mm... DI = sum(severity level x number of infected fruit in the level) x 100 / (highest level x total number of infected fruit),0,100,Disease index estimating disease severity based on a 0-4 scale of lesion diameter,,Yes,Fruit,three replicates of 30 fruit,15 days at 0C,,Anova,,3,,30,Parsed replicate count,,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,80,https://doi.org/10.1111/jph.12623,Journal of Phytopathology,2017,"Luis G. Hernandez Montiel, Ramon Zulueta Rodriguez, Carlos Angulo, Edgar O. Rueda Puente, Evangelina E. Quinonez Aguilar, Ricardo Galicia",Mango,Mango,1,Fungi,1,Colletotrichum gloeosporioides,1,Postharvest,1,Yes,Incidence,Continuous,Incidence (%) = Fi/ Tf (100) where Fi = number of infected fruit and Tf = total fruit,0,100,Percentage of infected mango fruits,,No,Fruit,"Ten mangoes were used per treatment, and the experiment was repeated twice",7 days,Arcsin square-root,Anova,,,,,"Reported, complex/unparsed",,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,92,https://doi.org/10.1111/jph.12570,Journal of Phytopathology,2017,"Wenzhong Wang, Rui Gao, Zhigang Bo, Lingling Chen, Fanxiang Min, Yunfei Gao, Shuai Yang, Qi Wei, Xuezhi Dong, Dianqiu Lv, Ying Chang",Potato,Potato,1,Fungi,1,Fusarium solani var. coeruleum,1,Postharvest,1,Yes,Incidence,Continuous,decreasing the incidence of potato dry rot,0,100,Incidence of potato dry rot,,No,Tuber,three replicates with 10 tubers per replicate,,,Anova,Fisher LSD / Duncan,3,,,Parsed replicate count,,ANOVA,ANOVA-based,Duncan / Fisher's LSD,2,Multiple-comparison procedure
original article,99,https://doi.org/10.1111/jph.12721,Journal of Phytopathology,2018,"Daniel Terao, Katia de Lima Nechet, Rosa Toyoko Shiraishi Frighetto, Valeria Delgado de Almeida Anjos, Eliane Aparecida Benato, Bernardo de Almeida Halfeld-Vieira",Mango,Mango,1,Fungi,1,Botryosphaeria dothidea,1,Postharvest,1,Yes,Severity,Ordinal,disease severity was based on a six-point scale: 0 = no decay... 5 = completely rotten... The severity scale was transformed in the McKinney index,0,5,Disease severity based on a 0-5 scale estimating the percentage of fruit surface covered by decay,"Luo, Wan, Feng, & Shao, 2015 / McKinney, 1923",Yes,Fruit,30 replications,22 days,,Anova,Tukey's HSD,30,,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,116,https://doi.org/10.1111/jph.12709,Journal of Phytopathology,2018,"Rafael S. da Silva, Brenda L. Moutinho, Deise R. dos Santos, I. S. Vasconcelo-Rodrigues, Viviane Talamini, Marcelo F. Fernandes, Roberta P. M. Fernandes",Kale,Kale,1,Bacteria,1,Xanthomonas campestris pv. campestris,1,Greenhouse,1,Yes,Severity,Continuous,,0,,Disease severity of black rot on kale plants,,No,Plant,ten repetitions,,,Anova,,10,,,Parsed replicate count,,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,120,https://doi.org/10.1111/jph.12690,Journal of Phytopathology,2018,"Tingting Wan, Huihui Zhao, Wei Wang",Tomato,Tomato,1,Fungi,1,Fusarium oxysporum,1,Greenhouse,1,Yes,Index,Ordinal,"0 = no symptoms"";""1 = <25% of leaves with symptoms... 5 = dead plant. Disease index = sum(rating no. x no. of plants in the rating) / (Total no. of plants x highest rating) x 100%",0,100,Disease index estimating disease severity using a 0-5 scale based on the percentage of symptomatic leaves,"Liu, Kloepper, & Tuzun, 1995",Yes,Plant,three replicates,50 days,,Anova,Fisher LSD / Duncan,3,,,Parsed replicate count,,ANOVA,ANOVA-based,Duncan / Fisher's LSD,2,Multiple-comparison procedure
original article,127,https://doi.org/10.1111/jph.12875,Journal of Phytopathology,2019,"Eirini G. Poulaki, Danai Gkizi, Sotirios E. Tjamos",Lettuce,Lettuce,1,Fungi,1,Sclerotinia sclerotiorum,1,Greenhouse,1,Yes,Severity,Ordinal,rated in five categories according to the modified scale of Kofoet et al.,1,5,Disease severity rated on a five-category scale,Kofoet et al.,Yes,Plant,30 plants,21 days postinoculation,,two-sample t test,,,,,"Reported, complex/unparsed",,t-test,t-test,Not reported,0,Not reported
original article,136,https://doi.org/10.1111/jph.12837,Journal of Phytopathology,2019,"Liqin Wu, Hongzhong Shang, Haike Gu, Jie Zheng",Pear,Pear,1,Fungi,1,Botryosphaeria dothidea,1,Postharvest,1,Yes,Incidence,Continuous,Incidence (%) = (number of decayed wounds / number of total wounds) x 100%,0,100,Disease incidence based on the percentage of decayed wounds,,No,Fruit,eight pears per replicate and three replicates per treatment,3 and 7 days,,,t-test,3,,,Parsed replicate count,,Not reported,Not reported,t-test,1,Pairwise test
original article,141,https://doi.org/10.1111/jph.12847,Journal of Phytopathology,2019,Mejdoub-Trabelsi et al.,Potato,Potato,1,Fungi,1,Fusarium species,1,Greenhouse,1,Yes,Severity,Ordinal,scored using a 0-4 scale... 4 = dead leaves,0,4,Fusarium wilt severity evaluated using a 0-4 leaf damage index,,Yes,Plant,10 plants were used... three replicates,60 days after inoculation,,Anova,Duncan's MRT,3,,,Parsed replicate count,,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,148,https://doi.org/10.1111/jph.12869,Journal of Phytopathology,2019,"Sareh Heydarpanah, Rasool Rezaei, Seyed Mohsen Taghavi, Habiballah Charehgani",Citrus,Citrus,1,Bacteria,1,Xanthomonas citri,1,Greenhouse,1,Yes,Severity,Continuous,number of necrotic lesions per leaf,0,,Disease severity based on the number of necrotic lesions per leaf,,No,Leaf,,,,,,,,,Not reported,,Not reported,Not reported,Not reported,0,Not reported
original article,172,https://doi.org/10.1111/jph.12886,Journal of Phytopathology,2020,"Ram Bahadur Khadka, Bhim Chaulagain, Surendra Subedi, Madan Marasini, Ranjana Rawal, Narayan Pathak, Ishwori Prasad Gautam, Tika Ram Chapagain, Bhim Bahadur Khatri, Dipak Sharma-Poudyal",Potato,Potato,1,Oomycete,1,Phytophthora infestans,1,Field,1,No,Severity,Ordinal,The disease scoring scale (1-10) was 1 = no lesions... 10 = 95.1%-100%,1,10,Disease severity scored on a 1-10 scale,Andrivon,Yes,Plot,three times in a randomized complete block design,"45, 65, 80 and 95 DAP",,Anova (joint),Fisher LSD,,,,"Reported, complex/unparsed",,Joint ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,184,https://doi.org/10.1111/jph.12979,Journal of Phytopathology,2021,"Aline Ferreira Barros, Vicente Paulo Campos, Leticia Lopes de Paula, Luma Alais Pedroso, Fabiola de Jesus Silva, Julio Carlos Pereira da Silva, Denilson Ferreira de Oliveira & Geraldo Humberto Silva",Solanum lycopersicum,Tomato,1,Nematode,1,Meloidogyne incognita,1,Greenhouse,1,Yes,Count,Discrete,,0,,Number of galls on roots,Barros et al.,No,Plant,5 replicates per treatment,,,Anova,Tukey's HSD,5,,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,185,https://doi.org/10.1111/jph.13023,Journal of Phytopathology,2021,"Ana Maria Gonzalez-Merino, Agustin Hernandez-Juarez, Rebeca Betancourt-Galindo, Yisa Maria Ochoa-Fuentes, Luis Alonso Valdez-Aguilar & Monica Lorena Limon-Corona",Solanum lycopersicum,Tomato,1,Fungi,1,Fusarium oxysporum,1,Greenhouse,1,Yes,Severity,Ordinal,0-4,0,4,Symptomatological scale 0-4 of damage by F. oxysporum,Apodaca-Sanchez et al. (2004),No,Plant,,75 days after inoculation,,Anova,Tukey's HSD,,,,Not reported,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,186,https://doi.org/10.1111/jph.13048,Journal of Phytopathology,2021,"Angelica Miamoto, Angelica Calandrelli, Luanna Karoline Rinaldi, Monique Thiara Rodrigues e Silva, Thaisa Muriel Mioranza, Simone de Melo Santana-Gomes & Claudia Regina Dias-Arieira",Glycine max,Soybean,1,Nematode,1,Meloidogyne javanica,1,Greenhouse,1,Yes,Reproduction factor,Continuous,,0,,Nematode parameters (implied reproduction factor),Miamoto et al.,No,Plant,,60 days,,Anova,Bonferroni t-test / Tukey,,,,Not reported,,ANOVA,ANOVA-based,Tukey / Bonferroni,2,Multiple-comparison procedure / Multiplicity adjustment
original article,192,https://doi.org/10.1111/jph.13062,Journal of Phytopathology,2021,Herbert Dustin Aumentado & Mark Angelo Balendres,Solanum melongena,Eggplant,1,Fungi,1,Paramyrothecium foliicola,1,Laboratory,1,Yes,Severity,Continuous,Percentage (%) of the diseased area,0,100,Percentage (%) of the diseased area on fruits or leaves,Tsushima et al.,No,Fruit,3 replicates,7 dpi,,Anova,Tukey's HSD,3,,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,218,https://doi.org/10.1111/jph.13143,Journal of Phytopathology,2022,"Camila Rodrigues Carmello, Marcia Maria Rosa Magri & Jean Carlos Cardoso",Solanum lycopersicum,Tomato,1,Fungi,1,Fusarium oxysporum f. sp. lycopersici / Alternaria alternata,2,Laboratory,1,No,Mycelial growth,Continuous,cm/day,0,,Mycelial Growth Speed Index (MGSI),Carmello et al.,No,Petri dish,,15 days,,Anova,Tukey's HSD,,,,Not reported,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,220,https://doi.org/10.1111/jph.13063,Journal of Phytopathology,2022,"Daniel Terao, Sonia Claudia Nascimento Queiroz & Aline de Holanda Nunes Maia",Citrus sinensis,Citrus,1,Fungi,1,Penicillium digitatum,1,Laboratory,1,Yes,Severity,Continuous,,0,5,Area under the disease progress curve (AUDPC),Campbell and Madden,No,Fruit,3 replicates of 5 oranges,15 days,,Anova,Tukey / t-test,3,,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey / t-test,2,Multiple-comparison procedure / Pairwise test
original article,222,https://doi.org/10.1111/jph.13127,Journal of Phytopathology,2022,"Giovanna Gilardi, Athina Vasileiadou, Angelo Garibaldi & Maria Lodovica Gullino",Lactuca sativa,Lettuce,1,Fungi,1,Fusarium oxysporum f. sp. lactucae,1,Greenhouse,1,Yes,Severity,Continuous,Percentage,0,100,Disease severity 0-100,Gilardi et al.,No,Pot,5 replicates (6 pots per rep),36-60 days,,Anova,Tukey's HSD,5,,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
original article,254,https://doi.org/10.1111/jph.13209,Journal of Phytopathology,2023,"Hadis Shahbazi, Keivan Behboudi & Stefan Olsson",Triticum aestivum,Bread wheat,1,Fungi,1,Fusarium graminearum,1,Greenhouse,1,Yes,Index,Continuous,,0,1,Disease severity index (DSI) based on a 1-3 scale of discoloration,Dyer et al.,No,Tiller,4 replicates (5 plantlets each),"14, 28 and 42 days",,Anova,Fisher LSD,4,,5,Parsed replicate count,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,255,https://doi.org/10.1111/jph.13235,Journal of Phytopathology,2023,"Hossein Golafrouz, Naser Safaie, Fatemeh Khelghatibana, Paul H. Goodwin & Ali Rezaei",Pyrus communis,European pear,1,Fungi,1,Rosellinia necatrix,1,Greenhouse,1,Yes,Severity,Continuous,Percentage,0,100,Root rot severity (%),Golafrouz et al.,No,Plant,,,,Anova,Fisher LSD,,,,Not reported,,ANOVA,ANOVA-based,Fisher's LSD,1,Multiple-comparison procedure
original article,264,https://doi.org/10.1111/jph.13214,Journal of Phytopathology,2023,"Nisha Rokaya, Anita Paneru, Ram Devi Timila, Shambhu Prasad Dhital, Ram Kumar Shrestha, Gopal Bahadur KC & Hira Kaji Manandhar",Solanum tuberosum,Potato,1,Oomycete,1,Phytophthora infestans,1,Field,1,Yes,Severity,Continuous,Percentage,0,100,Disease severity (%) and AUDPC based on a 1-10 scoring scale,Andrivon et al.,No,Plant,10 plants per middle ridge,80 days,,Anova,Duncan's MRT,,,,"Reported, complex/unparsed",,ANOVA,ANOVA-based,Duncan,1,Multiple-comparison procedure
original article,272,https://doi.org/10.1111/jph.13243,Journal of Phytopathology,2023,"Shunsuke Asano, Kandai Yoshida & Yoshihiko Hirayama",Solanum lycopersicum,Tomato,1,Fungi,1,Fulvia fulva,1,Greenhouse,1,Yes,Severity,Continuous,,0,100,Disease severity (DS) based on 0-4 scale of colonized leaves,Asano et al.,No,Plant,3 replicates (5 plants each),20 or 27 dpi,,Anova,,3,,5,Parsed replicate count,,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,291,https://doi.org/10.1111/jph.13345,Journal of Phytopathology,2024,"Meltem Avan, Eslam Mohamed Albastawisi, Yagmur Doga Levent, Sevgi Islek, Recep Kotan",Citrus sinensis,Citrus,1,Fungi,1,Penicillium digitatum,1,Laboratory,1,Yes,Incidence,Continuous,Percentage,0,100,Percentage of symptomatic fruit,Avan et al.,No,Fruit,,Postharvest,,Anova,LSMeans Student test,,,,Not reported,,ANOVA,ANOVA-based,LSMeans Student / t-test,2,Multiple-comparison procedure / Pairwise test
original article,298,https://doi.org/10.1111/jph.13436,Journal of Phytopathology,2024,"Praneet Chauhan, Arvind Kumar Gupta, Jagan Nath Sharma, Monica Sharma",Malus domestica,Apple,1,Fungi,1,Alternaria mali,1,Field,1,Yes,Severity,Continuous,Percentage,0,100,Percent disease severity converted from a 0-4 / 0-5 rating scale,McKinney / Sharma et al.,No,Tree,3 replicates,20-25 days after final application,,Anova,,3,,,Parsed replicate count,,ANOVA,ANOVA-based,Not reported,0,Not reported
original article,310,https://doi.org/10.1111/jph.13385,Journal of Phytopathology,2024,"Ying-Yu Chen, Tung-Tsuan Tsay, Peichen Chen",Ipomoea aquatica,Water spinach,1,Nematode,1,Meloidogyne incognita,1,Greenhouse,1,Yes,Index,Ordinal,Index,0,10,Galling index based on 0-10 scale,Zeck,No,Root,4 replicates,60 days,,Anova,Tukey's HSD,4,,,Parsed replicate count,,ANOVA,ANOVA-based,Tukey,1,Multiple-comparison procedure
